"Famille","Feature","Description","Type","Exemple de calcul"
"Expérience","years_total_experience","Années totales d’expérience pro","Numérique","Somme des années sur le CV"
"Expérience","years_relevant_experience","Années dans le métier visé","Numérique","Années sur postes proches"
"Expérience","years_in_domain","Années dans le secteur ou domaine","Numérique","Tech, santé, finance, etc."
"Parcours","career_depth","Profondeur du parcours, complexité croissante des missions","Score 0-5","Basé sur l’évolution des responsabilités"
"Parcours","job_hop_frequency","Fréquence des changements de poste","Numérique","Nb d’emplois / durée"
"Parcours","avg_job_duration_months","Durée moyenne des postes","Numérique","Moyenne des durées"
"Parcours","progression_rate","Niveau de progression dans la carrière","Score 0-5","Junior → confirmé → senior"
"Formation","education_level","Niveau de diplôme le plus élevé","Ordinal","Bac, Bac+3, Bac+5"
"Formation","field_match","Adéquation de la formation avec le poste","Booléen / score","Oui / partiel / non"
"Compétences","skill_match_score","Correspondance entre compétences et besoin du poste","Score 0-1","Ratio compétences requises couvertes"
"Compétences","skill_depth_score","Niveau de maîtrise des compétences clés","Score 0-5","Débutant à expert"
"Compétences","certifications_match","Certifications pertinentes pour le poste","Numérique","Nb de certifs utiles"
"International","has_multiple_languages","Maîtrise de plusieurs langues","Booléen","Oui / non"
"International","language_match_score","Niveau des langues selon le poste","Score 0-5","A2 à C2 pondéré"
"Contexte","location_match","Adéquation géographique / télétravail","Booléen / score","Présentiel, hybride, remote"
"Contexte","availability_match","Disponibilité par rapport au besoin","Booléen","Oui / non"
"Potentiel","junior_potential","Potentiel d’évolution pour profils juniors","Score 0-5","Basé sur signaux d’apprentissage"
"Potentiel","learning_velocity","Vitesse d’acquisition de nouvelles compétences","Score 0-5","Formations, montées en responsabilité"
"Potentiel","adaptability_score","Capacité à changer de contexte / stack / équipe","Score 0-5","Mobilité fonctionnelle"
"RH","cv_completeness","Niveau de complétude du CV","Score 0-1","Expérience, dates, diplômes présents"
"RH","red_flag_count","Nombre de signaux d’alerte","Numérique","Trous longs, incohérences, etc."
